site_id,year,diver_id,transect,transect_distance,species_code,count
DK,2013,9,1,2.0,AGAR,0
DK,2013,9,1,2.0,DESM,0
DK,2013,9,1,2.0,EISE,0
DK,2013,9,1,2.0,SACC,0
DK,2013,9,1,2.0,MACRO,2
DD,2016,8,1,1.0,Human,1
DK,2013,9,1,4.0,AGAR,0
DK,2013,9,1,4.0,DESM,0
DK,2013,9,1,4.0,EISE,0
DK,2013,9,1,4.0,SACC,0
DK,2013,9,1,4.0,MACRO,0
DK,2013,9,1,4.0,PTER,0
DK,2013,9,1,6.0,AGAR,0
DK,2013,9,1,6.0,DESM,0
DK,2013,9,1,6.0,EISE,0
DK,2013,9,1,6.0,SACC,0
DK,2013,9,1,6.0,MACRO,0
DK,2013,9,1,6.0,PTER,0
DK,2013,9,1,8.0,AGAR,1
DK,2013,9,1,8.0,DESM,0
DK,2013,9,1,8.0,EISE,0
DK,2013,9,1,8.0,SACC,0
DK,2013,9,1,8.0,MACRO,0
DK,2013,9,1,8.0,PTER,0
DK,2013,9,1,10.0,AGAR,1
DK,2013,9,1,10.0,DESM,0
DK,2013,9,1,10.0,EISE,1
DK,2013,9,1,10.0,SACC,0
DK,2013,9,1,10.0,MACRO,0
DK,2013,9,1,10.0,PTER,1
DK,2013,9,1,12.0,AGAR,1
DK,2013,9,1,12.0,DESM,0
DK,2013,9,1,12.0,EISE,0
DK,2013,9,1,12.0,SACC,0
DK,2013,9,1,12.0,MACRO,0
DK,2013,9,1,12.0,PTER,0
DK,2013,9,1,14.0,AGAR,2
DK,2013,9,1,14.0,DESM,0
DK,2013,9,1,14.0,EISE,1
DK,2013,9,1,14.0,SACC,0
DK,2013,9,1,14.0,MACRO,0
DK,2013,9,1,14.0,PTER,0
DK,2013,9,1,16.0,AGAR,0
DK,2013,9,1,16.0,DESM,0
DK,2013,9,1,16.0,EISE,0
DK,2013,9,1,16.0,SACC,0
DK,2013,9,1,16.0,MACRO,0
DK,2013,9,1,16.0,PTER,4
DK,2013,9,1,18.0,AGAR,1
DK,2013,9,1,18.0,DESM,0
DK,2013,9,1,18.0,EISE,0
DK,2013,9,1,18.0,SACC,0
DK,2013,9,1,18.0,MACRO,0
DK,2013,9,1,18.0,PTER,2
DK,2013,9,1,20.0,AGAR,2
DK,2013,9,1,20.0,DESM,0
DK,2013,9,1,20.0,EISE,0
DK,2013,9,1,20.0,SACC,0
DK,2013,9,1,20.0,MACRO,0
DK,2013,9,1,20.0,PTER,0
DK,2013,9,1,22.0,AGAR,0
DK,2013,9,1,22.0,DESM,0
DK,2013,9,1,22.0,EISE,0
DK,2013,9,1,22.0,SACC,0
DK,2013,9,1,22.0,MACRO,0
DK,2013,9,1,22.0,PTER,0
DK,2013,9,1,24.0,AGAR,0
DK,2013,9,1,24.0,DESM,0
DK,2013,9,1,24.0,EISE,0
DK,2013,9,1,24.0,SACC,0
DK,2013,9,1,24.0,MACRO,0
DK,2013,9,1,24.0,PTER,0
DK,2013,9,1,26.0,AGAR,1
DK,2013,9,1,26.0,DESM,0
DK,2013,9,1,26.0,EISE,0
DK,2013,9,1,26.0,SACC,0
DK,2013,9,1,26.0,MACRO,0
DK,2013,9,1,26.0,PTER,0
DK,2013,9,1,28.0,AGAR,2
DK,2013,9,1,28.0,DESM,0
DK,2013,9,1,28.0,EISE,1
DK,2013,9,1,28.0,SACC,0
DK,2013,9,1,28.0,MACRO,0
DK,2013,9,1,28.0,PTER,0
DK,2013,9,1,30.0,AGAR,0
DK,2013,9,1,30.0,DESM,0
DK,2013,9,1,30.0,EISE,1
DK,2013,9,1,30.0,SACC,0
DK,2013,9,1,30.0,MACRO,0
DK,2013,9,1,30.0,PTER,0
DK,2013,9,2,2.0,AGAR,1
DK,2013,9,2,2.0,DESM,0
DK,2013,9,2,2.0,EISE,0
DK,2013,9,2,2.0,SACC,0
DK,2013,9,2,2.0,MACRO,0
DK,2013,9,2,2.0,PTER,0
DK,2013,9,2,4.0,AGAR,0
DK,2013,9,2,4.0,DESM,0
DK,2013,9,2,4.0,EISE,0
DK,2013,9,2,4.0,SACC,0
